Disease,Symptoms
Hepatitis,"I feel fatigue, and jaundice"
Malaria,"I feel fever, and nausea"
Arthritis,"I feel swelling, and joint pain"
Bronchitis,"I feel shortness of breath, and fatigue, and cough, and mucus"
Chickenpox,"I feel rash, and itching, and fever"
Cholera,"I feel dehydration, and diarrhea, and vomiting"
Hypertension,"I feel nose bleeds, and blurred vision, and dizzy"
Kidney Stones,"I feel severe pain, and nausea, and blood in urine"
Chickenpox,"I feel itching, and rash"
Typhoid,"I feel headache, and fever"
Tuberculosis,"I feel persistent cough, and fever, and weight loss"
Kidney Stones,"I feel severe pain, and blood in urine"
Bronchitis,"I feel mucus, and fatigue, and cough"
Back Pain,"I feel limited movement, and lower back pain, and stiffness"
Chickenpox,"I feel rash, and itching, and fever"
Stroke,"I feel weakness, and confusion"
Gastritis,"I feel nausea, and vomiting, and abdominal pain"
Bronchitis,"I feel shortness of breath, and cough, and fatigue"
COVID-19,"I feel shortness of breath, and lost smell"
Typhoid,"I feel headache, and abdominal pain, and diarrhea"
Epilepsy,"I feel loss of consciousness, and confusion"
Tuberculosis,"I feel persistent cough, and night sweats"
Hypertension,"I feel blurred vision, and headaches, and nose bleeds"
COVID-19,"I feel fever, and tired, and shortness of breath"
Back Pain,"I feel lower back pain, and stiffness, and limited movement"
Bronchitis,"I feel mucus, and cough"
Heart Attack,"I feel nausea, and chest pain, and sweating, and shortness of breath"
Back Pain,"I feel stiffness, and limited movement, and lower back pain"
Pneumonia,"I feel shortness of breath, and chest pain, and cough, and fever"
Dengue,"I feel headache, and joint pain, and high fever, and nausea"
Typhoid,"I feel headache, and diarrhea"
Kidney Stones,"I feel severe pain, and blood in urine, and nausea"
Dengue,"I feel high fever, and headache, and rash, and joint pain"
Heart Attack,"I feel chest pain, and sweating, and shortness of breath, and nausea"
Chickenpox,"I feel fever, and itching"
Back Pain,"I feel limited movement, and lower back pain"
Back Pain,"I feel lower back pain, and stiffness, and limited movement"
Hepatitis,"I feel abdominal pain, and jaundice, and fatigue, and nausea"
Dengue,"I feel high fever, and rash"
Hypertension,"I feel nose bleeds, and blurred vision, and fatigue"
COVID-19,"I feel lost smell, and fever, and cough"
Cholera,"I feel dehydration, and vomiting"
Allergy,"I feel itchy eyes, and rash"
Urinary Tract Infection,"I feel frequent urination, and cloudy urine, and painful urination"
Malaria,"I feel headache, and nausea, and chills, and sweating"
Sinusitis,"I feel facial pain, and nasal congestion, and headache"
Diabetes,"I feel tired, and pee often"
Tuberculosis,"I feel night sweats, and persistent cough, and fever"
Tuberculosis,"I feel fever, and persistent cough"
Bronchitis,"I feel shortness of breath, and cough, and mucus, and fatigue"
Chickenpox,"I feel rash, and fever, and itching"
Chickenpox,"I feel fever, and rash, and itching"
Food Poisoning,"I feel abdominal pain, and diarrhea, and nausea, and vomiting"
Pneumonia,"I feel fatigue, and chest pain, and fever, and cough"
Typhoid,"I feel abdominal pain, and fever, and headache, and diarrhea"
Common Cold,"I feel sneezing, and sore throat"
Influenza,"I feel body aches, and fever, and cough"
Typhoid,"I feel abdominal pain, and headache, and diarrhea"
Asthma,"I feel short of breath, and wheezing, and trouble sleeping"
Food Poisoning,"I feel diarrhea, and nausea"
Food Poisoning,"I feel vomiting, and diarrhea, and abdominal pain"
Hepatitis,"I feel fatigue, and abdominal pain, and jaundice, and nausea"
Pneumonia,"I feel shortness of breath, and fatigue, and fever"
Chickenpox,"I feel rash, and itching"
Common Cold,"I feel sneezing, and sore throat, and cough, and runny nose"
Diabetes,"I feel pee often, and very thirsty, and tired, and blurred vision"
Bronchitis,"I feel cough, and mucus"
Chickenpox,"I feel itching, and fever"
Epilepsy,"I feel seizures, and loss of consciousness, and confusion"
Asthma,"I feel cough, and chest tight"
Arthritis,"I feel stiffness, and swelling, and joint pain"
Bronchitis,"I feel fatigue, and cough"
Food Poisoning,"I feel diarrhea, and vomiting, and abdominal pain"
Asthma,"I feel cough, and trouble sleeping"
Arthritis,"I feel joint pain, and swelling"
Hypertension,"I feel blurred vision, and dizzy, and headaches, and fatigue"
Cholera,"I feel vomiting, and dehydration"
Arthritis,"I feel joint pain, and swelling, and stiffness"
Allergy,"I feel itchy eyes, and sneezing, and rash"
Back Pain,"I feel lower back pain, and stiffness, and limited movement"
Malaria,"I feel chills, and nausea, and headache"
Malaria,"I feel sweating, and nausea, and chills"
Appendicitis,"I feel nausea, and fever, and abdominal pain"
Influenza,"I feel sore throat, and body aches, and runny nose, and fever"
Stroke,"I feel confusion, and slurred speech"
Back Pain,"I feel lower back pain, and stiffness, and limited movement"
Food Poisoning,"I feel diarrhea, and vomiting"
Arthritis,"I feel joint pain, and swelling"
Epilepsy,"I feel seizures, and confusion"
Gastritis,"I feel vomiting, and abdominal pain"
Appendicitis,"I feel abdominal pain, and nausea"
Urinary Tract Infection,"I feel cloudy urine, and frequent urination"
Back Pain,"I feel stiffness, and limited movement"
Urinary Tract Infection,"I feel painful urination, and frequent urination, and cloudy urine"
Food Poisoning,"I feel vomiting, and diarrhea, and nausea, and abdominal pain"
Food Poisoning,"I feel vomiting, and diarrhea, and nausea, and abdominal pain"
Anemia,"I feel dizziness, and shortness of breath"
Stroke,"I feel confusion, and numbness, and slurred speech, and weakness"
Urinary Tract Infection,"I feel painful urination, and cloudy urine, and frequent urination"
Typhoid,"I feel fever, and abdominal pain"
Gastritis,"I feel bloating, and abdominal pain, and vomiting"
Arthritis,"I feel swelling, and stiffness"
Diabetes,"I feel blurred vision, and tired, and hungry all the time, and pee often"
Food Poisoning,"I feel nausea, and diarrhea, and vomiting"
Chickenpox,"I feel itching, and fever"
Diabetes,"I feel tired, and hungry all the time"
Back Pain,"I feel stiffness, and limited movement"
Food Poisoning,"I feel nausea, and vomiting, and abdominal pain, and diarrhea"
Typhoid,"I feel abdominal pain, and fever, and diarrhea, and headache"
Hypertension,"I feel blurred vision, and headaches, and fatigue, and dizzy"
Typhoid,"I feel abdominal pain, and fever"
Measles,"I feel cough, and fever"
COVID-19,"I feel shortness of breath, and tired, and cough, and fever"
Chickenpox,"I feel fever, and rash, and itching"
Arthritis,"I feel stiffness, and swelling"
Common Cold,"I feel sneezing, and runny nose"
Asthma,"I feel wheezing, and short of breath"
